"","DOY","obs1","obs2","ysi_p","hylb_p","ysi_m","hylb_m"
"15340",187.975694444444,4.17,14.36,4.17,14.36,4.17,14.36
"15341",187.979166666667,3.97,13.25,3.97,13.25,3.97,13.25
"15342",187.982638888889,4.58,NA,4.58,13.8253368250211,4.58,13.1728323752004
"15343",187.986111111111,4.03,13.53,4.03,13.53,4.03,13.53
"15344",187.989583333333,3.96,13.67,3.96,13.67,3.96,13.67
"15345",187.993055555556,4.21,12.09,4.21,12.09,4.21,12.09
"15346",187.996527777778,3.96,13.74,3.96,13.74,3.96,13.74
"15347",188,NA,11.85,4.03555960507359,11.85,4.09754808659845,11.85
"15348",188.003472222222,4.01,12.79,4.01,12.79,4.01,12.79
"15349",188.006944444444,4.12,12.34,4.12,12.34,4.12,12.34
"15350",188.010416666667,4.32,NA,4.32,12.8276027698551,4.32,12.277886499623
"15351",188.013888888889,4.03,12.93,4.03,12.93,4.03,12.93
"15352",188.017361111111,3.82,13.52,3.82,13.52,3.82,13.52
"15353",188.020833333333,3.91,14.17,3.91,14.17,3.91,14.17
"15354",188.024305555556,3.94,13.97,3.94,13.97,3.94,13.97
"15355",188.027777777778,9.37,NA,9.37,13.4729136175352,9.37,13.8463829240197
"15356",188.03125,3.96,13.48,3.96,13.48,3.96,13.48
"15357",188.034722222222,4.1,NA,4.1,13.8845925345426,4.1,13.7849066375337
"15358",188.038194444444,3.93,13.02,3.93,13.02,3.93,13.02
"15359",188.041666666667,4,13.12,4,13.12,4,13.12
"15360",188.045138888889,3.75,14.9,3.75,14.9,3.75,14.9
"15361",188.048611111111,4.11,NA,4.11,13.7746163087936,4.11,12.4505474281752
"15362",188.052083333333,3.86,13.33,3.86,13.33,3.86,13.33
"15363",188.055555555556,3.72,12.38,3.72,12.38,3.72,12.38
"15364",188.059027777778,3.74,12,3.74,12,3.74,12
"15365",188.0625,3.79,12.26,3.79,12.26,3.79,12.26
"15366",188.065972222222,3.92,12.32,3.92,12.32,3.92,12.32
"15367",188.069444444444,3.8,13.49,3.8,13.49,3.8,13.49
"15368",188.072916666667,3.73,15.49,3.73,15.49,3.73,15.49
"15369",188.076388888889,3.67,13.82,3.67,13.82,3.67,13.82
"15370",188.079861111111,3.82,14.56,3.82,14.56,3.82,14.56
"15371",188.083333333333,4.06,13.32,4.06,13.32,4.06,13.32
"15372",188.086805555556,3.9,13.05,3.9,13.05,3.9,13.05
"15373",188.090277777778,3.96,11.92,3.96,11.92,3.96,11.92
"15374",188.09375,3.63,13.51,3.63,13.51,3.63,13.51
"15375",188.097222222222,3.88,12.33,3.88,12.33,3.88,12.33
"15376",188.100694444444,3.84,12.33,3.84,12.33,3.84,12.33
"15377",188.104166666667,4.05,12.93,4.05,12.93,4.05,12.93
"15378",188.107638888889,3.96,13.05,3.96,13.05,3.96,13.05
"15379",188.111111111111,3.62,11.48,3.62,11.48,3.62,11.48
"15380",188.114583333333,3.41,13.58,3.41,13.58,3.41,13.58
"15381",188.118055555556,3.91,12.23,3.91,12.23,3.91,12.23
"15382",188.121527777778,3.77,12.99,3.77,12.99,3.77,12.99
"15383",188.125,NA,12.49,3.73463298461088,12.49,3.57289629315427,12.49
"15384",188.128472222222,3.77,14.03,3.77,14.03,3.77,14.03
"15385",188.131944444444,3.89,13.41,3.89,13.41,3.89,13.41
"15386",188.135416666667,3.75,13.3,3.75,13.3,3.75,13.3
"15387",188.138888888889,3.79,14.02,3.79,14.02,3.79,14.02
"15388",188.142361111111,5.67,NA,5.67,13.2964079862861,5.67,13.0388716479052
"15389",188.145833333333,3.74,11.48,3.74,11.48,3.74,11.48
"15390",188.149305555556,3.66,17.23,3.66,17.23,3.66,17.23
"15391",188.152777777778,3.69,12.71,3.69,12.71,3.69,12.71
"15392",188.15625,3.79,13.58,3.79,13.58,3.79,13.58
"15393",188.159722222222,3.81,13.9,3.81,13.9,3.81,13.9
"15394",188.163194444444,3.56,11.91,3.56,11.91,3.56,11.91
"15395",188.166666666667,3.64,12.27,3.64,12.27,3.64,12.27
"15396",188.170138888889,4.14,NA,4.14,12.8847773225176,4.14,13.3830088642222
"15397",188.173611111111,3.87,12.52,3.87,12.52,3.87,12.52
"15398",188.177083333333,4.67,NA,4.67,12.7944139018134,4.67,12.6076872933845
"15399",188.180555555556,3.45,12.14,3.45,12.14,3.45,12.14
"15400",188.184027777778,3.68,13,3.68,13,3.68,13
"15401",188.1875,3.62,12.97,3.62,12.97,3.62,12.97
"15402",188.190972222222,3.67,11.96,3.67,11.96,3.67,11.96
"15403",188.194444444444,3.64,11.22,3.64,11.22,3.64,11.22
"15404",188.197916666667,3.53,13.51,3.53,13.51,3.53,13.51
"15405",188.201388888889,3.78,13.39,3.78,13.39,3.78,13.39
"15406",188.204861111111,3.7,12.62,3.7,12.62,3.7,12.62
"15407",188.208333333333,5.54,NA,5.54,12.6692616623559,5.54,13.2244276792906
"15408",188.211805555556,3.73,13.9,3.73,13.9,3.73,13.9
"15409",188.215277777778,3.67,13.2,3.67,13.2,3.67,13.2
"15410",188.21875,3.9,NA,3.9,13.12110491704,3.9,13.8166397617006
"15411",188.222222222222,3.95,NA,3.95,13.1096787057281,3.95,14.0509513653066
"15412",188.225694444444,3.76,15.5,3.76,15.5,3.76,15.5
"15413",188.229166666667,3.56,14.16,3.56,14.16,3.56,14.16
"15414",188.232638888889,3.7,13.33,3.7,13.33,3.7,13.33
"15415",188.236111111111,4.12,NA,4.12,13.6618597128409,4.12,14.1984011369562
"15416",188.239583333333,3.71,14.66,3.71,14.66,3.71,14.66
"15417",188.243055555556,3.67,13.38,3.67,13.38,3.67,13.38
"15418",188.246527777778,3.6,11.67,3.6,11.67,3.6,11.67
"15419",188.25,3.42,13.84,3.42,13.84,3.42,13.84
"15420",188.253472222222,3.1,12.96,3.1,12.96,3.1,12.96
"15421",188.256944444444,3.36,11.44,3.36,11.44,3.36,11.44
"15422",188.260416666667,3.08,11.89,3.08,11.89,3.08,11.89
"15423",188.263888888889,3.26,12.7,3.26,12.7,3.26,12.7
"15424",188.267361111111,3.31,13.88,3.31,13.88,3.31,13.88
"15425",188.270833333333,6.09,NA,6.09,12.6984948151637,6.09,12.6493989467544
"15426",188.274305555556,3.23,13.01,3.23,13.01,3.23,13.01
"15427",188.277777777778,2.95,11.23,2.95,11.23,2.95,11.23
"15428",188.28125,3.1,11.87,3.1,11.87,3.1,11.87
