"","DOY","obs1","obs2","ysi_p","hylb_p","ysi_m","hylb_m"
"273",129.944444444444,3.7,8.8,3.7,8.8,3.7,8.8
"274",129.947916666667,3.5,9.1,3.5,9.1,3.5,9.1
"275",129.951388888889,4.2,10.5,4.2,10.5,4.2,10.5
"276",129.954861111111,4.1,10,4.1,10,4.1,10
"277",129.958333333333,5,10.9,5,10.9,5,10.9
"278",129.961805555556,4.1,10.1,4.1,10.1,4.1,10.1
"279",129.965277777778,3.6,11.1,3.6,11.1,3.6,11.1
"280",129.96875,4.2,9.6,4.2,9.6,4.2,9.6
"281",129.972222222222,4.6,9.1,4.6,9.1,4.6,9.1
"282",129.975694444444,4.7,10.9,4.7,10.9,4.7,10.9
"283",129.979166666667,4.2,11,4.2,11,4.2,11
"284",129.982638888889,4.1,9.8,4.1,9.8,4.1,9.8
"285",129.986111111111,4.3,9.8,4.3,9.8,4.3,9.8
"286",129.989583333333,4.7,10.4,4.7,10.4,4.7,10.4
"287",129.993055555556,5.1,9,5.1,9,5.1,9
"288",129.996527777778,4.6,10,4.6,10,4.6,10
"289",130,4.6,10.4,4.6,10.4,4.6,10.4
"290",130.003472222222,4,9.8,4,9.8,4,9.8
"291",130.006944444444,4.3,9.3,4.3,9.3,4.3,9.3
"292",130.010416666667,4.4,10.6,4.4,10.6,4.4,10.6
"293",130.013888888889,4.6,9.1,4.6,9.1,4.6,9.1
"294",130.017361111111,3.3,9.1,3.3,9.1,3.3,9.1
"295",130.020833333333,3.8,9.7,3.8,9.7,3.8,9.7
"296",130.024305555556,3.9,9,3.9,9,3.9,9
"297",130.027777777778,3.5,8.2,3.5,8.2,3.5,8.2
"298",130.03125,4,8.8,4,8.8,4,8.8
"299",130.034722222222,4.2,9.2,4.2,9.2,4.2,9.2
"300",130.038194444444,4.4,8,4.4,8,4.4,8
"301",130.041666666667,4.6,11.8,4.6,11.8,4.6,11.8
"302",130.045138888889,4.5,9.3,4.5,9.3,4.5,9.3
"303",130.048611111111,4.4,8.9,4.4,8.9,4.4,8.9
"304",130.052083333333,4.5,8.5,4.5,8.5,4.5,8.5
"305",130.055555555556,4.4,10.5,4.4,10.5,4.4,10.5
"306",130.059027777778,4.4,9.6,4.4,9.6,4.4,9.6
"307",130.0625,3.9,10.7,3.9,10.7,3.9,10.7
"308",130.065972222222,4.6,10.4,4.6,10.4,4.6,10.4
"309",130.069444444444,4.1,10.2,4.1,10.2,4.1,10.2
"310",130.072916666667,3.6,11.4,3.6,11.4,3.6,11.4
"311",130.076388888889,4.8,9.5,4.8,9.5,4.8,9.5
"312",130.079861111111,4.1,9.3,4.1,9.3,4.1,9.3
"313",130.083333333333,4.4,9.8,4.4,9.8,4.4,9.8
"314",130.086805555556,4.6,9.6,4.6,9.6,4.6,9.6
"315",130.090277777778,4.3,10.8,4.3,10.8,4.3,10.8
"316",130.09375,4.6,9.9,4.6,9.9,4.6,9.9
"317",130.097222222222,4,10.8,4,10.8,4,10.8
"318",130.100694444444,4.9,9.6,4.9,9.6,4.9,9.6
"319",130.104166666667,4.4,9.3,4.4,9.3,4.4,9.3
"320",130.107638888889,4.7,8.1,4.7,8.1,4.7,8.1
"321",130.111111111111,3.7,10.3,3.7,10.3,3.7,10.3
"322",130.114583333333,4.2,9.8,4.2,9.8,4.2,9.8
"323",130.118055555556,3.6,10.7,3.6,10.7,3.6,10.7
"324",130.121527777778,4.4,10.8,4.4,10.8,4.4,10.8
"325",130.125,4,9.3,4,9.3,4,9.3
"326",130.128472222222,3.7,10.6,3.7,10.6,3.7,10.6
"327",130.131944444444,4.1,11,4.1,11,4.1,11
"328",130.135416666667,4.3,9.1,4.3,9.1,4.3,9.1
"329",130.138888888889,4.7,10.2,4.7,10.2,4.7,10.2
"330",130.142361111111,5,9.6,5,9.6,5,9.6
"331",130.145833333333,4.2,10.6,4.2,10.6,4.2,10.6
"332",130.149305555556,4.3,10.9,4.3,10.9,4.3,10.9
"333",130.152777777778,3.7,10.3,3.7,10.3,3.7,10.3
"334",130.15625,4.9,9.8,4.9,9.8,4.9,9.8
"335",130.159722222222,4.3,8.3,4.3,8.3,4.3,8.3
"336",130.163194444444,4,8.6,4,8.6,4,8.6
"337",130.166666666667,4.9,8.4,4.9,8.4,4.9,8.4
"338",130.170138888889,4.7,10.1,4.7,10.1,4.7,10.1
"339",130.173611111111,4.7,11.1,4.7,11.1,4.7,11.1
"340",130.177083333333,4.9,9.9,4.9,9.9,4.9,9.9
"341",130.180555555556,5,10.2,5,10.2,5,10.2
"342",130.184027777778,4.4,10.8,4.4,10.8,4.4,10.8
"343",130.1875,4.3,12.3,4.3,12.3,4.3,12.3
"344",130.190972222222,4.7,10.1,4.7,10.1,4.7,10.1
"345",130.194444444444,4.7,10.6,4.7,10.6,4.7,10.6
"346",130.197916666667,4.7,10.6,4.7,10.6,4.7,10.6
"347",130.201388888889,4.2,12.1,4.2,12.1,4.2,12.1
"348",130.204861111111,5.5,11.8,5.5,11.8,5.5,11.8
"349",130.208333333333,3.9,11.8,3.9,11.8,3.9,11.8
"350",130.211805555556,4.1,11.5,4.1,11.5,4.1,11.5
"351",130.215277777778,4.7,11,4.7,11,4.7,11
"352",130.21875,4.7,11.2,4.7,11.2,4.7,11.2
"353",130.222222222222,4.6,11.4,4.6,11.4,4.6,11.4
"354",130.225694444444,4.8,13,4.8,13,4.8,13
"355",130.229166666667,3.7,12.2,3.7,12.2,3.7,12.2
"356",130.232638888889,4.2,12.6,4.2,12.6,4.2,12.6
"357",130.236111111111,5.3,10.8,5.3,10.8,5.3,10.8
"358",130.239583333333,4.7,9.6,4.7,9.6,4.7,9.6
"359",130.243055555556,4.5,12.8,4.5,12.8,4.5,12.8
"360",130.246527777778,5.3,14.2,5.3,14.2,5.3,14.2
"361",130.25,4.3,11.5,4.3,11.5,4.3,11.5
"362",130.253472222222,4.1,12.7,4.1,12.7,4.1,12.7
"363",130.256944444444,4.5,13,4.5,13,4.5,13
"364",130.260416666667,4.2,14.1,4.2,14.1,4.2,14.1
"365",130.263888888889,4.8,15.3,4.8,15.3,4.8,15.3
"366",130.267361111111,5.9,12.4,5.9,12.4,5.9,12.4
"367",130.270833333333,5.6,12.1,5.6,12.1,5.6,12.1
"368",130.274305555556,3.9,12.7,3.9,12.7,3.9,12.7
"369",130.277777777778,4.5,12.7,4.5,12.7,4.5,12.7
"370",130.28125,5,12.2,5,12.2,5,12.2
"371",130.284722222222,5.1,14.2,5.1,14.2,5.1,14.2
"372",130.288194444444,5.1,17,5.1,17,5.1,17
