"doy","thermocline","depth","lake","year"
197,"ZT1a",1.1,"R",2024
197,"ZT1b",5.1875,"R",2024
197,"ZT2",2.25,"R",2024
205,"ZT1a",1.77631578947368,"R",2024
205,"ZT1b",5.17857142857143,"R",2024
205,"ZT2",3.25,"R",2024
211,"ZT1a",1.1875,"R",2024
211,"ZT1b",5.5,"R",2024
211,"ZT2",2.75,"R",2024
218,"ZT1a",1.77173913043478,"R",2024
218,"ZT1b",5.41666666666667,"R",2024
218,"ZT2",2.75,"R",2024
225,"ZT1a",2.45,"R",2024
225,"ZT1b",5.58333333333333,"R",2024
225,"ZT2",3.25,"R",2024
232,"ZT1a",2.09615384615385,"R",2024
232,"ZT1b",5.45,"R",2024
232,"ZT2",3.25,"R",2024
143,"ZT1a",1.44047619047619,"T",2024
143,"ZT1b",4.33333333333333,"T",2024
143,"ZT2",2.25,"T",2024
150,"ZT1a",1.80555555555556,"T",2024
150,"ZT1b",4.13888888888889,"T",2024
150,"ZT2",2.25,"T",2024
157,"ZT1a",1.16666666666667,"T",2024
157,"ZT1b",4.1875,"T",2024
157,"ZT2",2.25,"T",2024
164,"ZT1a",1.975,"T",2024
164,"ZT1b",4.52777777777778,"T",2024
164,"ZT2",2.75,"T",2024
171,"ZT1a",0.985294117647059,"T",2024
171,"ZT1b",4.89285714285714,"T",2024
171,"ZT2",3.25,"T",2024
178,"ZT1a",1.09615384615385,"T",2024
178,"ZT1b",4.875,"T",2024
178,"ZT2",2.75,"T",2024
185,"ZT1a",1.93181818181818,"T",2024
185,"ZT1b",4.875,"T",2024
185,"ZT2",3.25,"T",2024
192,"ZT1a",1.1875,"T",2024
192,"ZT1b",5.125,"T",2024
192,"ZT2",2.75,"T",2024
199,"ZT1a",1.5,"T",2024
199,"ZT1b",4.75,"T",2024
199,"ZT2",2.25,"T",2024
207,"ZT1a",1.9,"T",2024
207,"ZT1b",5.02777777777778,"T",2024
207,"ZT2",2.75,"T",2024
213,"ZT1a",1.475,"T",2024
213,"ZT1b",5,"T",2024
213,"ZT2",3.25,"T",2024
220,"ZT1a",1.92857142857143,"T",2024
220,"ZT1b",5.32142857142857,"T",2024
220,"ZT2",2.75,"T",2024
227,"ZT1a",1.1875,"T",2024
227,"ZT1b",5.25,"T",2024
227,"ZT2",3.25,"T",2024
234,"ZT1a",2.01666666666667,"T",2024
234,"ZT1b",5.35,"T",2024
234,"ZT2",3.25,"T",2024
154,"ZT1a",1.63888888888889,"L",2025
154,"ZT1b",4.91666666666667,"L",2025
154,"ZT2",3.25,"L",2025
161,"ZT1a",2.42307692307692,"L",2025
161,"ZT1b",5.41666666666667,"L",2025
161,"ZT2",2.75,"L",2025
168,"ZT1a",0.568181818181818,"L",2025
168,"ZT1b",5.08333333333333,"L",2025
168,"ZT2",3.25,"L",2025
175,"ZT1a",0.972222222222222,"L",2025
175,"ZT1b",5.5,"L",2025
175,"ZT2",3.25,"L",2025
182,"ZT1a",2.25,"L",2025
182,"ZT1b",5.75,"L",2025
182,"ZT2",4.25,"L",2025
189,"ZT1a",2.07142857142857,"L",2025
189,"ZT1b",5.65,"L",2025
189,"ZT2",3.75,"L",2025
196,"ZT1a",2.36904761904762,"L",2025
196,"ZT1b",5.91666666666667,"L",2025
196,"ZT2",4.25,"L",2025
203,"ZT1a",2.89705882352941,"L",2025
203,"ZT1b",7.10294117647059,"L",2025
203,"ZT2",3.75,"L",2025
210,"ZT1a",1.58333333333333,"L",2025
210,"ZT1b",6.05,"L",2025
210,"ZT2",3.75,"L",2025
217,"ZT1a",1.26111111111111,"L",2025
217,"ZT1b",3.95833333333333,"L",2025
217,"ZT2",NA,"L",2025
224,"ZT1a",2.95,"L",2025
224,"ZT1b",6.25,"L",2025
224,"ZT2",3.75,"L",2025
231,"ZT1a",3.42307692307692,"L",2025
231,"ZT1b",7.21666666666667,"L",2025
231,"ZT2",4.25,"L",2025
160,"ZT1a",1.81451612903226,"R",2025
160,"ZT1b",4.53571428571429,"R",2025
160,"ZT2",2.25,"R",2025
167,"ZT1a",2.29166666666667,"R",2025
167,"ZT1b",4.66666666666667,"R",2025
167,"ZT2",2.75,"R",2025
174,"ZT1a",0.821428571428572,"R",2025
174,"ZT1b",4.75,"R",2025
174,"ZT2",1.75,"R",2025
181,"ZT1a",1.05,"R",2025
181,"ZT1b",5.25,"R",2025
181,"ZT2",2.75,"R",2025
188,"ZT1a",1.8375,"R",2025
188,"ZT1b",5.13888888888889,"R",2025
188,"ZT2",2.25,"R",2025
195,"ZT1a",1.65909090909091,"R",2025
195,"ZT1b",5.32142857142857,"R",2025
195,"ZT2",2.75,"R",2025
202,"ZT1a",2.16666666666667,"R",2025
202,"ZT1b",5.58333333333333,"R",2025
202,"ZT2",3.25,"R",2025
209,"ZT1a",1.15,"R",2025
209,"ZT1b",5.375,"R",2025
209,"ZT2",2.75,"R",2025
216,"ZT1a",2.25,"R",2025
216,"ZT1b",5.625,"R",2025
216,"ZT2",3.25,"R",2025
223,"ZT1a",2.34375,"R",2025
223,"ZT1b",6.25,"R",2025
223,"ZT2",2.75,"R",2025
230,"ZT1a",2.57142857142857,"R",2025
230,"ZT1b",6.32142857142857,"R",2025
230,"ZT2",3.25,"R",2025
155,"ZT1a",1.41,"T",2025
155,"ZT1b",4.04166666666667,"T",2025
155,"ZT2",2.75,"T",2025
162,"ZT1a",1.84756097560976,"T",2025
162,"ZT1b",4.125,"T",2025
162,"ZT2",2.25,"T",2025
169,"ZT1a",0.426470588235294,"T",2025
169,"ZT1b",4.20454545454546,"T",2025
169,"ZT2",2.75,"T",2025
176,"ZT1a",0.958333333333333,"T",2025
176,"ZT1b",4.41666666666667,"T",2025
176,"ZT2",1.75,"T",2025
183,"ZT1a",1.05769230769231,"T",2025
183,"ZT1b",4.625,"T",2025
183,"ZT2",2.25,"T",2025
