"DOY","Ztherm","Lake","Year","DOC","kPAR","cumulative.load","daily.load","Manual_Chl"
200,NA,"L",2014,3.57085714285714,0.70599462037931,15.3,0.3,1.813160798
201,NA,"L",2014,3.53657142857143,0.693332073503131,15.6,0.3,2.101853225
202,NA,"L",2014,3.50228571428571,0.680669526626953,15.9,0.3,1.815056688
203,3.75,"L",2014,3.468,0.668006979750774,16.2,0.3,2.349525475
204,NA,"L",2014,3.49228571428571,0.680382171944038,16.5,0.3,1.839530912
205,NA,"L",2014,3.51657142857143,0.692757364137303,16.8,0.3,2.278860462
206,NA,"L",2014,3.54085714285714,0.705132556330567,17.1,0.3,2.654677679
207,NA,"L",2014,3.56514285714286,0.717507748523832,17.4,0.3,2.495509048
208,NA,"L",2014,3.58942857142857,0.729882940717096,17.7,0.3,3.100901377
209,NA,"L",2014,3.61371428571429,0.742258132910361,18,0.3,2.689493124
210,3.25,"L",2014,3.638,0.754633325103625,18.3,0.3,2.512830594
211,NA,"L",2014,3.63657142857143,0.753042480811674,18.6,0.3,1.784808616
212,NA,"L",2014,3.63514285714286,0.751451636519723,18.9,0.3,1.816004633
213,NA,"L",2014,3.63371428571429,0.749860792227772,19.2,0.3,2.204145139
214,NA,"L",2014,3.63228571428571,0.748269947935821,19.5,0.3,1.598838987
215,NA,"L",2014,3.63085714285714,0.74667910364387,19.8,0.3,1.574106232
216,NA,"L",2014,3.62942857142857,0.745088259351919,20.1,0.3,1.673726664
217,3.75,"L",2014,3.628,0.743497415059968,20.4,0.3,1.628311467
218,NA,"L",2014,3.59371428571429,0.740715829456385,20.7,0.3,1.395806342
219,NA,"L",2014,3.55942857142857,0.737934243852801,21,0.3,1.579276843
220,NA,"L",2014,3.52514285714286,0.735152658249218,21.3,0.3,1.244479804
221,NA,"L",2014,3.49085714285714,0.732371072645634,21.6,0.3,1.626501753
222,NA,"L",2014,3.45657142857143,0.729589487042051,21.9,0.3,1.792219824
223,NA,"L",2014,3.42228571428571,0.726807901438467,22.2,0.3,2.648086012
224,3.75,"L",2014,3.388,0.724026315834884,22.5,0.3,2.316431843
225,NA,"L",2014,3.34657142857143,0.710220098390858,22.8,0.3,1.819537884
226,NA,"L",2014,3.30514285714286,0.696413880946831,23.1,0.3,1.658559539
227,NA,"L",2014,3.26371428571429,0.682607663502805,23.4,0.3,1.941391941
228,NA,"L",2014,3.22228571428571,0.668801446058778,23.7,0.3,2.147526952
229,NA,"L",2014,3.18085714285714,0.654995228614752,24,0.3,2.391838305
230,NA,"L",2014,3.13942857142857,0.641189011170725,24.3,0.3,2.841250546
231,3.75,"L",2014,3.098,0.627382793726699,24.6,0.3,2.953281305
232,NA,"L",2014,3.098,0.637124162400916,24.9,0.3,2.909547419
233,NA,"L",2014,3.098,0.646865531075133,25.2,0.3,2.908468485
234,NA,"L",2014,3.098,0.65660689974935,25.5,0.3,6.359937263
235,NA,"L",2014,3.098,0.666348268423566,25.8,0.3,2.293855233
236,NA,"L",2014,3.098,0.676089637097783,26.1,0.3,3.351245109
237,NA,"L",2014,3.098,0.685831005772,26.4,0.3,3.132872986
238,4.25,"L",2014,3.098,0.695572374446217,26.7,0.3,2.52877331
239,NA,"L",2014,3.098,0.695572374446217,27,0.3,2.468621873
240,NA,"L",2014,3.098,0.695572374446217,27.3,0.3,1.880206382
241,NA,"L",2014,3.098,0.695572374446217,27.6,0.3,1.949406388
242,NA,"L",2014,3.098,0.695572374446217,27.9,0.3,1.949406388
243,NA,"L",2014,3.098,0.695572374446217,28.2,0.3,1.949406388
244,NA,"L",2014,3.098,0.695572374446217,28.5,0.3,1.949406388
245,NA,"L",2014,3.098,0.695572374446217,28.8,0.3,1.949406388
150,NA,"L",2015,3.49523809557143,0.746133596796245,0.3,0.3,2.598186865
151,NA,"L",2015,3.46238095271429,0.761043187836145,0.6,0.3,2.014973091
152,NA,"L",2015,3.42952380985714,0.775952778876045,0.9,0.3,2.275143677
153,2.75,"L",2015,3.396666667,0.790862369915945,1.2,0.3,2.026937654
154,NA,"L",2015,3.42238095271429,0.790654402399169,1.5,0.3,2.240091418
155,NA,"L",2015,3.44809523842857,0.790446434882393,1.8,0.3,2.025283729
156,2.75,"L",2015,3.47380952414286,0.790238467365616,2.1,0.3,2.400724663
157,NA,"L",2015,3.49952380985714,0.79003049984884,2.4,0.3,2.037574384
158,NA,"L",2015,3.52523809557143,0.789822532332064,2.7,0.3,1.882986762
159,NA,"L",2015,3.55095238128571,0.789614564815287,3,0.3,2.054229368
160,2.75,"L",2015,3.576666667,0.789406597298511,3.3,0.3,1.687081518
161,NA,"L",2015,3.58380952414286,0.793659600208849,3.6,0.3,1.823133452
162,NA,"L",2015,3.59095238128571,0.797912603119187,3.9,0.3,1.803911952
163,NA,"L",2015,3.59809523842857,0.802165606029525,4.2,0.3,1.627727904
164,NA,"L",2015,3.60523809557143,0.806418608939864,4.5,0.3,1.931329851
165,3.25,"L",2015,3.61238095271429,0.810671611850202,4.8,0.3,2.054298184
166,NA,"L",2015,3.61952380985714,0.81492461476054,5.1,0.3,2.369903794
167,2.75,"L",2015,3.626666667,0.819177617670878,5.4,0.3,1.593320011
168,NA,"L",2015,3.60809523842857,0.808187085428409,5.7,0.3,2.490896801
169,NA,"L",2015,3.58952380985714,0.797196553185939,6,0.3,1.665811184
170,NA,"L",2015,3.57095238128571,0.78620602094347,6.3,0.3,1.73118618
171,NA,"L",2015,3.55238095271429,0.775215488701,6.6,0.3,2.160815635
172,NA,"L",2015,3.53380952414286,0.764224956458531,6.9,0.3,2.511228737
173,NA,"L",2015,3.51523809557143,0.753234424216061,7.2,0.3,2.157453045
174,3.25,"L",2015,3.496666667,0.742243891973592,7.5,0.3,2.071120515
175,NA,"L",2015,3.47095238128571,0.744172573604828,7.8,0.3,1.643837053
176,NA,"L",2015,3.44523809557143,0.746101255236064,8.1,0.3,2.275831834
